iter	Logloss
0	0.6912417989
1	0.6900677209
2	0.6881296375
3	0.686776365
4	0.6854336101
5	0.683805933
6	0.6821743412
7	0.6805847267
8	0.6787022768
9	0.6770735701
10	0.6754033815
11	0.6739117531
12	0.6725279578
13	0.6714075661
14	0.6697511231
15	0.6684906693
16	0.6672358803
17	0.665749761
18	0.6643925854
19	0.6629045397
20	0.6616351411
21	0.6603757022
22	0.6592721542
23	0.6581999287
24	0.6570082053
25	0.6556327965
26	0.6548192364
27	0.6537149531
28	0.6522933319
29	0.6512727172
30	0.6500702295
31	0.6491200291
32	0.6475783133
33	0.6464213674
34	0.6450437344
35	0.643632603
36	0.6423532158
37	0.6411701478
38	0.639678845
39	0.638201944
40	0.6365970068
41	0.6354557957
42	0.6341816528
43	0.6328396293
44	0.631678032
45	0.630374661
46	0.6292074639
47	0.6280621353
48	0.6269837114
49	0.6259275396
50	0.62484954
51	0.6236200629
52	0.6227118413
53	0.6215986954
54	0.620485964
55	0.619354085
56	0.6182762708
57	0.6168147745
58	0.6159224008
59	0.6146030244
60	0.6136458367
61	0.6125162567
62	0.6113647842
63	0.6104500467
64	0.6093689274
65	0.6081833633
66	0.6070727919
67	0.6060494815
68	0.6048996281
69	0.6038972853
70	0.6031010255
71	0.6020644468
72	0.6008606482
73	0.599481798
74	0.5985575668
75	0.5977001938
76	0.596179931
77	0.5953345895
78	0.5940494832
79	0.5930687845
80	0.5921286043
81	0.5912899585
82	0.5901604259
83	0.5887538653
84	0.5875942506
85	0.5867394564
86	0.5859941944
87	0.5850313851
88	0.5840947138
89	0.5833262941
90	0.5823868971
91	0.5813464186
92	0.5803741395
93	0.5792157295
94	0.5784828754
95	0.5771514492
96	0.5761501991
97	0.5753658966
98	0.5740018414
99	0.5727624143
100	0.5720058841
101	0.5714772652
102	0.5705556414
103	0.5691911358
104	0.5681047032
105	0.5671682814
106	0.5660492134
107	0.5653315967
108	0.5644300085
109	0.5636960295
110	0.5627516267
111	0.5619683311
112	0.5609730068
113	0.5600914815
