iter	Logloss
0	0.6888064286
1	0.6839645473
2	0.6789353833
3	0.6732007577
4	0.669205389855	0.665468594266	0.6616091267
7	0.6577308341
8	0.653769812
9	0.6482945472
10	0.6440969714
11	0.6396447076
12	0.6352085403
13	0.6307405164
14	0.6271146931
15	0.6227414411116	0.6163579421717	0.6118452858
18	0.6081885015
19	0.6037217275
20	0.5995921632121	0.6008198362222	0.597210169223	0.5874807625224	0.58395073052225	0.58647719626	0.5735054353
27	0.5693295674
28	0.5657171241
29	0.5627671689
30	0.559539308
31	0.5557573931
32	0.5526748407
33	0.549426557
34	0.5464895179
35	0.5427044999
36	0.5396567676
37	0.5365215892
38	0.5325130876
39	0.5284321478
40	0.5245332101
41	0.5207567133
42	0.5176411872
43	0.5143420131
44	0.5114368479
45	0.5076902332
46	0.5044660235
47	0.5014912671
48	0.4982618343
49	0.4950565131
50	0.4918518807
51	0.488482121
52	0.4853840568
53	0.4824231668
54	0.4795376101
55	0.4756848739
56	0.4735018994
57	0.4707048741
58	0.4677329319
59	0.464289998
60	0.4614214497
61	0.4587952708
62	0.4557174875
63	0.4535640953
64	0.4508991679
65	0.4481842595
66	0.4450701083
67	0.4415949881
68	0.4389224021
69	0.4364396483
70	0.433595206
71	0.4302300029
72	0.4274549527
73	0.425006001
74	0.4225739745
75	0.4192502199
76	0.4170501064
77	0.4149498587
78	0.4127927538
79	0.4100126806
80	0.4076101621
81	0.405192124
82	0.4028213193
83	0.4008052339
84	0.3984082892
85	0.395877786
86	0.3929016929
87	0.3909068919
88	0.3885577092
89	0.386077145
90	0.3842124168
91	0.3815745304
92	0.3795486636
93	0.3768594022
94	0.3750559986
95	0.3732150507
96	0.371243271
97	0.3693088646
98	0.3671593092
99	0.3647526473
100	0.3627249318
101	0.3603990531
102	0.3582296695
103	0.3558726505
104	0.3537826442
105	0.3515391711
106	0.3495417857
107	0.3477186841
108	0.3461812486
109	0.3443574305
110	0.3428884425
111	0.3409195748
112	0.339087539
113	0.3375976497
114	0.3349541667
115	0.3332926641
116	0.3313666921
117	0.329447581
118	0.3279926616
119	0.3263720227
120	0.3240176953
121	0.3218350791
122	0.3203006491
123	0.3183931997
124	0.3169358116
125	0.3153241145
126	0.3135855796
127	0.3112728733
128	0.3099236265
129	0.3081392534
130	0.3067499389
131	0.3050073193
132	0.3026657463
133	0.3012344674
134	0.2999954788
135	0.2982995645
136	0.2971314351
137	0.2955011069
138	0.2939806808
139	0.2923959476
140	0.2912759204
141	0.2897284768
142	0.2880196932
143	0.2866834526
144	0.2854528855
145	0.2836903659
146	0.2823920411
147	0.2812213792
148	0.2797424805
149	0.2787145402
150	0.2775740323
151	0.2764154292
152	0.275062175
153	0.2738368539
154	0.2725767548
155	0.2712104219
156	0.2701166382
157	0.2689150054
158	0.2673587783
159	0.2659925746
160	0.2648830147
161	0.2632180099
162	0.2622175115
163	0.2608456423
164	0.2596946225
165	0.2586403605
166	0.2575407028
167	0.2564979799
168	0.2550556793
169	0.2540686538
170	0.2529045951
171	0.2513575528
172	0.2500313268
173	0.2495951753
174	0.2486833079
175	0.2472114513
176	0.2461205038
177	0.2450088436
178	0.2438374571
179	0.2428975282
180	0.2417471327
181	0.240727723
182	0.2398515594
183	0.2388390807
184	0.2377936839
185	0.2369395293
186	0.2360104893
187	0.2348816745
188	0.2338118849
189	0.2326309438
190	0.2316975252
191	0.2305705364
192	0.2294265206
193	0.2286515125
194	0.2279288353
195	0.2271014965
196	0.2260775705
197	0.2252292853
198	0.2241813952
199	0.223577459
200	0.2227583792
201	0.2215992065
202	0.2201663589
203	0.2190625081
204	0.218239
205	0.2172465203
206	0.2161194188
207	0.2151432221
208	0.2143021618
209	0.2134412326
210	0.2122624994
211	0.211335085
212	0.2105566598
213	0.2095379867
214	0.2083892932
215	0.2073951467
216	0.2068367307
217	0.2060669833
218	0.205404514
219	0.2046754501
220	0.2040832633
221	0.2031208628
222	0.2023344799
223	0.2017113185
224	0.2009746485
225	0.2002266243
226	0.1994762197
227	0.1987919341
228	0.1980190119
229	0.1971968451
230	0.1964083393
231	0.1955642388
232	0.1945978154
233	0.1936901755
234	0.1930903748
235	0.1924595763
236	0.191873739
237	0.1910012352
238	0.1904889036
239	0.1897712004
240	0.1889959305
241	0.1883398109
242	0.1873538222
243	0.18675483
244	0.1859782905
245	0.1852134859
246	0.1844351877
247	0.1838327573
248	0.1827347395
249	0.1824741715
250	0.1818281765
251	0.1812625974
252	0.1807607061
253	0.1799484663
254	0.1794700363
255	0.1788706791
256	0.1783282878
257	0.1778772506
258	0.177227459
259	0.1765049254
260	0.1756369953
261	0.1748387691
262	0.1738649438
263	0.1732303224
264	0.1727801743
265	0.1721602149
266	0.1716543214
267	0.1711262648
268	0.1705998789
269	0.1699366875
270	0.1694242057
271	0.1689231234
272	0.1683376512
273	0.1678261375
274	0.1674808107
275	0.1668359315
276	0.1661562962
277	0.165389549
278	0.1648315071
279	0.1640670859
280	0.1634914187
281	0.1629382941
282	0.1624674794
283	0.1619730855
284	0.1614686756
285	0.1611089609
286	0.1605717878
287	0.1598352159
288	0.1592116202
289	0.1586953466
290	0.1578115909
291	0.1572680233
292	0.1565690968
293	0.1562084371
294	0.1558119597
295	0.1553060887
296	0.1546096143
297	0.1537759055
298	0.1533164331
299	0.1529296774
300	0.1524724384
301	0.1518971089
302	0.151472155
303	0.15128754
304	0.1509143363
305	0.1502668675
306	0.149678286
307	0.1493129975
308	0.1485716846
309	0.1480687725
310	0.1474247177
311	0.1470390919
312	0.1467036415
313	0.1462684719
314	0.1458828879
315	0.1454694455
316	0.1451290579
317	0.1446886012
318	0.1443280064
319	0.1439710952
320	0.1432585495
321	0.1426897147
322	0.1423925199
323	0.1419145702
324	0.1413197817
325	0.1405499517
326	0.139905252
327	0.1391980781
328	0.1385222405
329	0.1380613425
330	0.1377286193
331	0.1373441108
332	0.1369615127
333	0.1364937756
334	0.1360528706
335	0.135616945
336	0.1352510101
337	0.1347957279
338	0.1341525918
339	0.1337090162
340	0.1334006094
341	0.1330377605
342	0.1324009019
343	0.131976656
344	0.1315553936
345	0.1312431382
346	0.1307528191
347	0.1302699911
348	0.1297990929
349	0.1295503241
350	0.1292051079
351	0.1287719187
352	0.128299731
353	0.1279687678
354	0.1275494268
355	0.1271743788
356	0.1267996314
357	0.1265563236
358	0.1262889675
359	0.125855996
360	0.1253876595
361	0.125074222
362	0.12466956
363	0.124330478
364	0.1238887917
365	0.1235326037
366	0.123225766
367	0.1228561842
368	0.1224102389
369	0.1220475932
370	0.1216751066
371	0.121401178
372	0.1211552735
373	0.1205469154
374	0.1202875872
375	0.1197107198
376	0.1193315539
377	0.118948485
378	0.1186303876
379	0.118367264
380	0.1180100098
381	0.1177007855
382	0.1174506279
383	0.1170259197
384	0.1166361736
385	0.1164135945
386	0.1159858831
387	0.115706044
388	0.1152046246
389	0.1150425634
390	0.1148385805
391	0.1143262196
392	0.1140813441
393	0.1138204945
394	0.1135618688
395	0.1132101189
396	0.1129684822
397	0.1125430622
398	0.1123018259
399	0.1120228795
400	0.111659887
401	0.1111666631
402	0.1108905319
403	0.1105391156
404	0.1103207606
405	0.1099716325
406	0.1097117135
