iter	Passed	Remaining
489	579	603
490	579	601
491	580	599
492	581	598
493	582	596
494	583	595
495	584	594
496	585	593
497	587	591
498	588	590
499	589	589
500	590	587
501	591	586
502	592	585
503	593	583
504	594	582
505	595	581
506	596	579
507	597	578
508	598	577
509	599	576
510	600	574
511	601	573
512	602	572
513	603	570
514	604	568
515	605	567
516	606	566
517	607	565
518	608	564
519	609	562
520	610	561
521	611	560
522	612	559
523	614	557
524	615	556
525	616	555
526	617	554
527	618	553
528	619	551
529	620	550
530	622	549
531	623	548
532	624	546
533	625	545
534	626	544
535	628	543
536	628	542
537	630	541
538	631	539
539	632	538
540	633	537
541	634	536
542	635	534
543	636	533
544	637	532
545	638	530
546	639	529
547	640	528
548	641	527
549	642	526
550	645	525
551	646	524
552	647	523
553	648	522
554	649	521
555	651	519
556	652	518
557	653	517
558	653	515
559	655	514
560	655	512
561	656	511
562	657	510
563	658	509
564	659	507
565	660	506
566	661	504
567	662	503
568	663	502
569	664	501
570	666	500
571	667	499
572	668	497
573	669	496
574	670	495
575	671	494
576	672	493
577	673	491
578	674	490
579	676	489
580	677	488
581	677	486
582	678	485
583	679	484
584	680	483
585	681	481
586	682	480
587	683	479
588	684	477
589	685	476
590	686	475
591	687	473
592	688	472
593	689	471
594	690	469
595	691	468
596	692	467
597	693	466
598	694	464
599	695	463
600	697	462
601	698	461
602	699	460
603	700	459
604	701	458
605	702	456
606	703	455
607	704	454
608	705	453
609	707	452
610	708	451
611	709	449
612	709	448
613	710	446
614	711	445
615	713	444
616	714	443
617	715	442
618	716	440
619	717	439
620	719	438
621	720	437
622	721	436
623	723	435
624	723	434
625	724	432
626	725	431
627	726	430
628	727	429
629	728	428
630	729	426
631	731	425
632	732	424
633	733	423
634	734	422
635	735	420
636	736	419
637	737	418
638	738	417
639	739	416
640	740	414
641	741	413
642	743	412
643	744	411
644	745	410
645	746	408
646	747	407
647	748	406
648	749	405
649	750	403
650	751	402
651	752	401
652	753	400
653	754	399
654	755	397
655	756	396
656	757	395
657	758	394
658	759	392
659	760	391
660	761	390
661	762	389
662	762	387
663	763	386
664	765	385
665	767	384
666	767	383
667	769	382
668	770	381
669	772	380
670	773	379
671	774	378
672	775	377
673	777	375
674	778	374
675	779	373
676	780	372
677	781	371
678	783	370
679	784	369
680	785	367
681	786	366
682	788	365
683	789	364
684	790	363
685	792	362
686	793	361
687	794	360
688	795	358
689	796	357
690	797	356
691	798	355
692	799	354
693	801	353
694	802	351
695	803	350
696	804	349
697	805	348
698	806	347
699	807	346
700	808	344
701	809	343
702	810	342
703	811	341
704	812	340
705	813	338
706	814	337
707	816	336
708	817	335
709	819	334
710	820	333
711	820	332
712	822	330
713	823	329
714	824	328
715	825	327
716	827	326
717	828	325
718	829	323
719	829	322
720	830	321
721	831	320
722	832	319
723	833	317
724	834	316
725	835	315
726	836	314
727	837	313
728	838	311
729	839	310
730	840	309
731	842	308
732	843	307
733	843	305
734	844	304
735	845	303
736	846	302
737	847	301
738	849	299
739	850	298
740	851	297
741	852	296
742	853	295
743	854	293
744	855	292
745	856	291
746	857	290
747	858	289
748	859	288
749	860	286
750	861	285
751	862	284
752	863	283
753	864	282
754	865	280
755	866	279
756	867	278
757	868	277
758	869	276
759	870	274
760	871	273
761	872	272
762	873	271
763	874	270
764	876	269
765	877	267
766	878	266
767	879	265
768	881	264
769	882	263
770	883	262
771	884	261
772	885	259
773	886	258
774	887	257
775	888	256
776	889	255
777	890	254
778	892	253
779	893	251
780	894	250
781	895	249
782	896	248
783	897	247
784	898	246
785	899	244
786	900	243
787	901	242
788	902	241
789	903	240
790	905	239
791	905	237
792	907	236
793	907	235
794	908	234
795	909	233
796	911	232
797	912	230
798	913	229
799	914	228
800	915	227
801	916	226
802	917	225
803	918	223
804	919	222
805	921	221
806	921	220
807	922	219
808	923	218
809	924	216
810	925	215
811	926	214
812	928	213
813	928	212
814	930	211
815	930	209
816	931	208
817	933	207
818	934	206
819	935	205
820	936	204
821	937	203
822	938	201
823	939	200
824	940	199
825	941	198
826	942	197
827	943	196
828	944	194
829	945	193
830	946	192
831	947	191
832	948	190
833	949	189
834	950	187
835	951	186
836	952	185
837	953	184
838	954	183
839	955	182
840	956	180
841	957	179
842	958	178
843	958	177
844	960	176
845	961	175
846	962	173
847	963	172
848	964	171
849	965	170
850	966	169
851	968	168
852	969	167
853	970	165
854	971	164
855	972	163
856	973	162
857	975	161
858	976	160
859	977	159
860	978	157
861	979	156
862	980	155
863	981	154
864	982	153
865	983	152
866	985	151
867	986	150
868	987	148
869	988	147
870	990	146
871	990	145
872	992	144
873	993	143
874	994	142
875	995	140
876	996	139
877	998	138
878	999	137
879	1001	136
880	1002	135
881	1003	134
882	1005	133
883	1006	132
884	1007	130
885	1008	129
886	1009	128
887	1010	127
888	1011	126
889	1012	125
890	1013	124
891	1014	122
892	1015	121
893	1016	120
894	1017	119
895	1018	118
896	1019	117
897	1020	115
898	1022	114
899	1023	113
900	1024	112
901	1025	111
902	1026	110
903	1028	109
904	1029	108
905	1030	106
906	1031	105
907	1032	104
908	1033	103
909	1034	102
910	1036	101
911	1037	100
912	1038	98
913	1038	97
914	1039	96
915	1040	95
916	1041	94
917	1042	93
918	1043	91
919	1044	90
920	1045	89
921	1046	88
922	1047	87
923	1048	86
924	1049	85
925	1051	83
926	1052	82
927	1052	81
928	1053	80
929	1054	79
930	1055	78
931	1055	77
932	1056	75
933	1057	74
934	1058	73
935	1059	72
936	1059	71
937	1060	70
938	1061	68
939	1062	67
940	1062	66
941	1063	65
942	1064	64
943	1064	63
944	1065	62
945	1066	60
946	1066	59
947	1067	58
948	1068	57
949	1069	56
950	1070	55
951	1070	53
952	1071	52
953	1072	51
954	1073	50
955	1074	49
956	1075	48
957	1075	47
958	1076	46
959	1077	44
960	1078	43
961	1079	42
962	1080	41
963	1080	40
964	1081	39
965	1082	38
966	1083	36
967	1084	35
968	1085	34
969	1085	33
970	1086	32
971	1087	31
972	1088	30
973	1089	29
974	1089	27
975	1090	26
976	1092	25
977	1092	24
978	1093	23
979	1094	22
980	1095	21
981	1095	20
982	1096	18
983	1096	17
984	1097	16
985	1098	15
986	1099	14
987	1100	13
988	1101	12
989	1101	11
990	1102	10
991	1103	8
992	1104	7
993	1105	6
994	1106	5
995	1107	4
996	1107	3
997	1108	2
998	1109	1
999	1110	0
