iter	Logloss
0	0.691285269
1	0.689005165
2	0.6869846789
3	0.6846299516
4	0.6824264827
5	0.6805769773
6	0.6777906514
7	0.6756358885
8	0.6732098552
9	9	0.6732054710	10	0.6714227711	0.667501824
12	0.6657870487
13	013	0.665079414	0.6617999844
15	0.659952907
16	0.6574646999
17	0.6553338937
18	0.6534292695
19	0.6512455481
20	0.6488263295
21	0.6468049741
22	0.6452148648
23	0.6434948135
24	0.6416241452
25	0.6399824478
26	26	0.639737142727	0.6379838419
28	0.6366155806
29	0.6349827051
30	0.63286643
31	0.6290770672
32	0.6290695268
33	0.627439665
34	0.6259605756
35	0.6244977867
36	0.6228498557
37	0.6214211205
38	0.6200492999
39	0.618459049
40	0.6165960106
41	0.6151830898
42	0.6131615352
43	0.6112480607
44	0.6097162444
45	0.6082933189
46	0.607161555
47	0.6055526408
48	0.6038182836
49	0.6021925429
50	0.6004139822
51	0.59938857
52	0.5975127759
53	0.5956321799
54	0.594062916
55	0.592788054
56	0.5913058354
57	0.5898817374
58	0.5881218099
59	0.5866009661
60	0.5848902228
61	0.5830835498
62	0.5815553283
63	0.5802365207
64	0.5785422291
65	0.5769861613
66	0.5756569877
67	0.574546974
68	0.573166077
69	0.5721148234
70	0.5706137558
71	0.5695212787
72	0.5680368875
73	0.5665684695
74	0.5652218216
75	0.5640534204
76	0.5627454239
77	0.5611960067
78	0.5598906316
79	0.5580119449
80	0.5566820377
81	0.5555060984
82	0.554665835
83	0.5536062172
84	0.5520389473
85	0.5507486164
86	0.5499001111
87	0.5486034782
88	0.5470944748
89	0.5463395404
90	0.5450841384
91	0.5441508525
92	0.5430835402
93	0.5418836215
94	0.5401268498
95	0.5390664381
96	0.5373985967
97	0.5363137234
98	0.5351806998
99	0.5338308685
100	0.5326935931
101	0.5312097926
102	0.5300791373
103	0.5289614739
104	0.5279131072
105	0.5267067405
106	0.5255589681
107	0.5243451632
108	0.5227456232
109	0.5214559674
110	0.5204341942
111	0.5194163813
112	0.5182188068
113	0.5168185567
114	0.5156277304
115	0.5145470454
116	0.5133059433
117	0.5120929143
118	0.5109316581
119	0.5097743095
120	0.508457679
121	0.507511876
122	0.5065726033
123	0.5056443132
124	0.5045340502
125	0.5036227868
126	0.5029766235
127	0.5019376621
128	0.501306727
129	0.4999081142
130	0.4986296702
131	0.4972790528
132	0.4963265132
133	0.4953652314
134	0.4946812913
135	0.4936784673
136	0.4924608965
137	0.4914601867
138	0.4904887276
139	0.489221112
140	0.4881948934
141	0.4873859629
142	0.4862779244
143	0.4851791184
144	0.4840976199
145	0.4830960919
146	0.4819474907
147	0.4811954347
148	0.4799398457
149	0.4788857469
150	0.4783193421
151	0.4774550392
152	0.4765712855
153	0.4758455188
154	0.4750834659
155	0.4744180418
156	0.4734623856
157	0.472516953
158	0.4713337125
159	0.4707248659
160	0.4699050597
161	0.4690371042
162	0.4679976256
163	0.4671082799
164	0.4663583786
165	0.4657816722
166	0.4647421207
167	0.4638214276
168	0.4630678903
169	0.462169864
170	0.4615679514
171	0.4607715745
172	0.4597471401
173	0.4588538611
174	0.458300437
175	0.4573731721
176	0.4563685797
177	0.4556423507
178	0.4547392028
179	0.4537444206
180	0.4529710421
181	0.4520466608
182	0.45111755
183	0.4502833383
184	0.4493140917
185	0.4483083178
186	0.4473105196
187	0.4464338526
188	0.445436945
189	0.444631476
190	0.4435864426
191	0.4429633449
192	0.4424737744
193	0.4414718831
194	0.4405514489
195	0.4398970352
196	0.4391946762
197	0.4384039489
198	0.4377266335
199	0.436875191
200	0.4356952525
201	0.4351504207
202	0.4345928803
203	0.4336797147
204	0.4328333139
205	0.4321368067
206	0.4313425628
207	0.4302658452
208	0.4292700337
209	0.42849997
210	0.4275222312
211	0.4267650068
212	0.4260273448
213	0.4253577415
214	0.4245300529
215	0.4237004619
216	0.4227585369
217	0.4221340589
218	0.4213543309
219	0.4208420471
220	0.4201340754
221	0.4194106571
222	0.4186216207
223	0.4180151168
224	0.4174497473
225	0.4167506522
226	0.4163401762
227	0.4158192694
228	0.4149782935
229	0.4140889831
230	0.4135879789
231	0.412743919
232	0.4122248611
233	0.4114577285
234	0.410814516
235	0.4102284788
236	0.4097170611
237	0.4090457641
238	0.4084785702
239	0.4079455485
240	0.4072289318
241	0.4064540744
242	0.4057318205
243	0.4050239303
244	0.4045045485
245	0.4036081912
246	0.4028895782
247	0.4022629217
248	0.40168091
249	0.4009598849
250	0.4003392366
251	0.3997130926
252	0.3988006185
253	0.3982736811
254	0.3976629593
255	0.3974817819
256	0.3970213796
257	0.3963349316
258	0.3956348463
259	0.395092371
